Filename	(E)-hex-2-enal	3-methylbutanal oxime	a-pinene	b-myrcene	(Z)-b-ocimene	(E)-b-ocimene	g-terpinene	methyl benzoate	linalool	(3E)-4,8-dimethylnona-1,3,7-triene	2-methylbenzonitrile	a-campholenal	Decanal	Caprolactam	Nonanoic acid	indole	a-copaene	petasitene	(E)-a-bergamotene	b-caryophyllene	(E)-b-bergamotene	a-farnesene	pseudoionone	trans-Geranylgeraniol	(Z)-hex-3-en-1-ol	[(E)-hex-3-enyl] acetate	[(E)-hex-3-enyl] butanoate	[(Z)-hex-3-enyl] butanoate	a-terpineol	(Z)-a-bergamotene	a-humulene	(2E)-2,7-dimethylocta-2,6-dien-1-ol	benzaldehyde	limonene	methyl salicylate	(E)-4-oxohex-2-enal	p-mentha-1,3,8-triene	cosmene	(4E,6Z)-alloocimene	furan-3-carbaldehyde	sabinene	3-carene	b-caryophyllene oxide	[(Z)-hex-3-enyl] 2-methylbutanoate	2-butyloctan-1-ol	hexan-1-ol	verbenone	3-methylbutan-1-ol
5D232_July6_07292018.qgd	3873	0	41962	16523	24674	71903	1018	1884	0	2671	468	0	76147	8024	0	0	545	0	12618	3485	0	42256	4432	1240	9431	9133	2165	0	1093	2998	1913	16779	112384	36345	5986	8848	1714	2174	2004	10735	11935	17533	684	0	26715	19049	0	0
6A166_July3_07292018.qgd	6154	0	23390	3990	1112	2351	409	825	0	4125	423	0	21305	2816	0	737	4029	32708	1780	9814	0	2239	1195	0	142835	5326	0	0	761	2235	2435	3756	68017	6398	8769	9175	0	235	288	11022	2199	1220	0	0	7296	36256	0	0
1A253_July11_07292018.qgd	0	0	128170	4497	9434	2817	1304	3602	0	5716	1041	0	77425	0	0	0	197	26078	0	1089	4225	0	0	0	22503	17383	6062	2344	0	1799	1528	6750	181185	9113	42880	5315	0	0	133	16706	2881	2318	0	0	29879	15882	0	0
4A69_June28_07292018.qgd	15796	0	124423	18452	10619	28875	1558	3993	0	33430	2994	0	136443	0	0	0	4491	0	2492	29269	12500	0	1545	1187	105216	6072	7195	0	15730	0	10742	18129	206932	26630	17895	44618	0	1891	751	26900	7345	8807	0	0	51856	36041	1275	0
2B129_July9_07292018.qgd	13035	0	68433	26187	6253	15816	1702	4896	0	8793	980	0	229574	0	0	0	825	59298	0	24135	4400	0	0	0	31331	13096	8646	0	4746	3864	6838	28336	272657	64249	21059	13345	0	0	1017	25728	23208	32208	0	0	113008	44567	603	0
5C220_July3_07292018.qgd	10466	2302	136004	33997	7850	26959	2465	7632	46306	7980	16889	0	89691	5554	0	5123	3629	183574	0	37096	0	3413	0	0	328221	31405	51840	15927	9376	1301	10730	0	176487	49031	121419	65365	0	2695	1114	11208	5032	3088	0	71051	12008	33100	2323	2393
3C147_July5_07292018.qgd	8878	0	31220	13988	4992	0	1645	3395	0	11194	0	0	109086	0	0	3207	1336	29468	0	11968	5479	0	0	0	59738	18644	1109	3265	0	3288	4515	15682	127684	26550	35991	6674	0	0	794	16432	15746	25789	0	0	61208	54502	528	0
4C119_June28_07292018.qgd	0	0	29136	0	14454	565	2037	1267	0	2129	0	0	54109	42150	0	0	0	0	0	0	1750	188	1365	0	0	2202	0	1556	0	0	1278	5086	91242	9336	4802	1336	0	0	80	7734	5111	6391	0	0	12331	5467	0	0
3A128_June29_07292018.qgd	8770	0	109289	15865	22240	40325	1652	2687	0	0	3230	0	73284	3014	0	648	1155	0	0	1334	0	2519	0	0	127723	23185	7348	0	1694	906	0	13577	201388	51958	3526	20798	3349	5945	3049	8080	4324	1496	0	2664	9882	19519	868	0
5A176_July9_07292018.qgd	0	0	104469	26663	174399	0	0	20765	0	34889	0	0	855644	21298	0	0	6652	0	4927	4159	52092	0	16800	0	46466	31578	5454	0	0	27319	2758	33149	840701	166713	483763	27148	0	0	1142	56837	39234	63782	0	0	150698	102839	7007	0
5B7_July3_07292018.qgd	7897	0	33476	18535	6585	0	2371	8240	0	11577	7779	0	180224	120813	0	3104	0	23446	0	9391	11436	0	0	0	301159	42237	6061	0	8142	0	0	22147	233440	29288	13780	51473	0	0	998	27680	5662	7276	0	0	107162	53837	0	0
2B87_July5_07292018.qgd	0	0	61946	0	9834	3555	4141	6801	0	0	3882	0	83343	535934	0	1882	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	325346	8376	7650	7136	0	0	0	14830	2981	3762	0	0	0	21297	0	0
5B292_July9_07292018.qgd	8069	0	103023	42269	67048	0	0	7251	0	7167	6480	0	316663	0	0	5328	24427	12559	0	60281	6831	3554	0	0	77701	11212	46006	5208	5544	2023	12027	41150	358209	53629	48491	20725	0	0	434	38059	20530	27731	0	0	56423	76347	847	7825
2D200_June29_07292018.qgd	1650	0	36291	0	17636	546	0	1804	0	0	4790	0	216032	258535	0	1452	798	0	0	863	4701	0	0	0	49156	11358	0	2100	1405	1493	0	9066	159657	16112	7781	14999	0	0	0	17256	8051	9131	0	0	20023	10746	0	0
2D218_July5_07292018.qgd	49451	1758	700270	126407	13870	0	10424	10058	36535	13595	8517	0	119081	10485	0	0	11522	1156284	0	385021	6073	15405	0	0	755135	259141	98251	9647	30647	0	94629	0	412073	168939	35405	65135	0	9340	2478	15307	14139	4734	39274	16424	0	0	3428	17792
6B26_June25_07292018.qgd	3910	0	60463	37300	6490	20022	0	15935	0	9474	6631	0	353359	359118	0	0	2800	150383	0	26093	20314	0	4559	0	38538	23841	0	0	15733	12215	11899	65082	303839	92101	61538	15887	0	0	1332	56443	55931	98096	0	0	136644	50650	3444	0
4A95_July6_07302018.qgd	14298	0	523957	42690	8077	0	3557	5231	0	13651	0	0	121280	11286	0	0	3916	0	0	25067	0	2492	3168	0	152644	143749	11227	3519	17095	5201	6912	0	198432	69017	20369	32968	0	3449	1544	11381	20131	21957	0	6020	18078	53844	1514	8698
2C100_July9_07302018.qgd	28696	0	193262	45631	15428	0	0	12100	0	31095	4653	0	301028	27739	0	0	15016	472038	20814	125870	9335	72694	25257	0	744665	66379	3209	0	0	9830	46851	41449	455030	102174	308169	95977	0	0	1989	34454	14417	18303	0	0	190987	97485	0	0
3C171_July5_07302018.qgd	0	0	82244	0	20810	2798	2798	11220	0	16513	4795	0	152963	338330	0	3745	757	0	0	6067	6673	0	5795	0	0	11807	2207	0	2775	3846	0	10536	377315	17423	33166	17059	0	0	0	33118	5126	6615	0	0	0	0	0	0
5A194_July6_07302018.qgd	9501	0	89103	0	8538	0	16099	11625	0	15490	2737	0	350000	0	0	0	1665	16413	0	2226	16014	0	2308	0	79999	30835	0	0	9378	15799	0	57911	382253	100579	42162	28270	0	0	1252	53436	57498	99010	0	0	138931	37307	3620	0
4D45_June28_07302018.qgd	16661	0	172927	66919	312802	33770	38447	29832	0	0	4566	0	1266338	0	0	0	9920	0	0	6213	55266	17348	33438	0	83138	37842	19889	0	0	56465	0	188689	1109803	284790	479781	56404	0	0	2238	76552	98260	159923	0	0	156771	94767	12511	0
6B34_July6_07302018.qgd	11851	5186	225624	41865	6875	19991	1304	6730	30985	11626	4501	3592	169952	0	0	1946	852	93788	0	2667	4654	0	0	1623	106496	114843	6776	4176	2168	0	0	43831	294298	64656	59245	44236	0	0	1057	15500	10172	10890	0	20662	0	54870	1100	0
6B632_July6_07302018.qgd	4377	0	31699	16333	18972	76197	0	2885	0	0	1540	0	168127	0	0	0	606	93985	15250	0	6169	87854	0	0	0	26823	8287	0	1702	0	0	17950	164031	24904	19425	24589	0	5903	3080	14306	7833	10456	0	0	34593	31713	0	0
3C156_July9_07302018.qgd	0	0	63398	0	316656	22926	0	36910	0	41519	7481	0	1117705	0	0	9744	3571	0	0	16615	89494	0	22199	0	0	20193	15394	0	0	14757	0	0	1182019	300304	809347	11997	0	0	690	80158	76079	126534	0	0	198189	76816	14581	0
3C171_July9_v2_07302018.qgd	0	0	19765	0	11114	1624	1624	6428	0	6135	4206	0	111329	46697	0	1070	0	0	0	0	14081	0	0	0	0	8145	0	0	1264	1167	0	6877	210029	8467	12425	10027	0	0	0	14654	4274	7422	0	0	41334	0	841	0
4A75_July6_07302018.qgd	0	0	46077	0	6270	15685	537	2062	0	0	1685	2817	90585	0	0	1432	0	25365	5745	0	4309	18586	0	0	75238	8100	8110	3718	0	0	0	7043	134697	6638	6783	6467	0	0	1167	10837	3022	2686	0	0	16805	32518	945	3670
6C109_July6_07302018.qgd	4456	0	103865	7150	2801	0	887	2272	0	0	4479	0	126085	66407	0	1406	1189	0	0	3556	4082	2258	0	0	80149	20210	0	0	0	1501	779	8339	170952	12852	32031	13142	0	0	409	13375	2016	1282	0	0	19187	27206	0	0
6D66_July5_07302018.qgd	0	0	136596	7006	30100	3683	3683	4925	0	21711	2714	2424	81425	0	0	1730	0	0	0	6003	14045	0	14595	0	0	4154	5512	0	3808	2169	0	9428	241146	21235	9431	5899	0	0	461	15026	11557	17796	0	0	50279	14440	1270	0
2C266_July5_07302018.qgd	0	0	64912	22061	17309	62579	14548	7921	0	82947	4320	0	199631	0	0	4770	2209	0	0	0	35239	0	44745	0	0	15113	6088	0	13784	0	0	25977	434928	39010	88531	11044	0	0	2465	73618	11987	18221	0	0	161776	34556	6497	0
4D35_July6_07302018.qgd	12895	0	56370	0	46212	0	0	6776	0	0	3599	0	149744	18249	0	0	1970	0	0	4094	5401	0	0	0	266085	20685	8087	9893	5766	5044	2075	17728	319560	31469	20261	50158	0	0	224	19720	20340	32552	0	0	41297	57225	1391	1354
5A189_July6_07302018.qgd	5603	0	44158	12829	7794	27998	0	5578	0	5703	2275	0	100208	273941	0	1106	3319	44685	6477	7929	4697	21675	0	0	118802	18167	14927	3649	2148	12623	2183	12046	201489	18025	7784	31482	0	0	1047	12684	5177	6110	0	0	62503	49011	345	0
6B20_July6_07302018.qgd	0	0	150861	0	2474	0	0	2221	0	0	987	1694	75641	68769	0	1415	938	10936	0	3130	5676	942	0	4544	0	4790	0	0	782	1844	0	8622	116555	18827	7842	8894	1036	0	502	63820	10648	14512	0	0	25055	0	1023	0
4D26_July6_07302018.qgd	15702	0	101915	29392	6085	0	1580	10505	20804	10610	4384	0	224101	0	0	0	14674	1708265	4884	1369	2168	0	0	3380	137565	14810	20403	0	73302	12107	8877	29090	275256	55414	20136	14807	0	0	699	21935	17998	28515	0	17363	36889	0	6117	0
6D258_3_July3_07302018.qgd	0	0	44760	0	30850	0	0	2748	0	0	2297	0	167689	404589	0	0	0	8777	0	0	4768	987	0	2041	0	7762	0	0	1577	491	753	10500	177963	21969	9906	7512	0	0	323	19145	13754	20249	0	0	28476	11377	757	0
6A160_July30_08012018.qgd	8768	0	2535266	45617	5012	5284	5635	3297	0	45946	1603	3069	143421	0	0	705	3129	0	0	14112	15343	0	12979	0	0	0	6656	0	8670	0	7838	0	249649	59078	3885	0	0	0	826	17621	17381	6779	0	0	31670	30735	2989	0
5A173_2_July30_08012018.qgd	75241	0	527546	106751	12727	33271	2085	1364	28677	29820	3087	0	128791	0	0	1057	1576	0	0	135511	5707	0	20051	0	1914776	43939	64497	7260	20830	0	33369	0	77014	133075	25791	71180	3151	3092	1941	8371	16439	5288	0	16679	7427	0	2775	5374
5A175_July30_08012018_6D45_08012018.qgd	7769	0	98168	18580	2560	0	1484	5210	0	5599	3074	0	215564	14998	0	299	2397	0	0	4984	7823	1303	0	0	170238	9857	0	0	3322	2142	0	19261	177263	36119	11866	14294	0	0	0	88809	10376	13637	0	0	22614	60154	654	4354
6D45_July30_08012018_5A173_July30_08012018.qgd	9664	0	70119	18655	4087	0	1197	1307	0	0	3044	10302	237696	0	0	604	547	0	0	8490	45502	2486	3952	1025	257262	24266	13446	0	13361	2774	3866	17162	138295	32241	8706	25752	0	0	457	22532	12393	15927	0	0	31267	37985	487	0
5A173_July30_08012018_6B25_July30_08012018.qgd	4964	0	332409	49807	56206	0	0	7927	19814	14514	4221	0	112409	0	0	417	2042	215728	0	50434	5870	0	0	7007	79923	5017	11172	0	6424	12156	16122	0	204534	66038	95580	8788	0	0	0	19149	8430	4820	0	10598	0	27686	1324	0
6B25_July30_08012018_5A181_July30_08012018.qgd	8466	0	116853	10059	4921	17212	0	2526	0	1761	3028	0	89877	0	0	0	5773	0	0	17127	5679	0	0	1109	72413	7944	2298	0	2089	0	3774	9836	163959	13603	2383	7801	0	0	471	18139	2825	1174	0	1368	17101	28255	0	3208
5A181_July30_08012018_6C102_1_July30_08012018.qgd	15744	0	154082	54392	8359	15849	16185	6583	0	82774	1860	0	357721	0	0	2490	7824	0	0	11348	39645	0	8999	0	159323	15908	49449	0	0	0	0	0	265913	81860	36349	40729	0	0	1678	15324	14616	15805	0	7349	0	62029	3840	0
6C102_1_July30_08012018_5C221_July30_08012018.qgd	0	0	2566344	91046	4129	0	1620	4609	0	11308	1928	11061	185831	76752	0	1384	1057	28426	0	0	6730	0	7469	12385	0	0	9482	0	2476	2047	0	0	216312	103316	6647	16438	0	0	792	17356	27037	19085	0	0	0	12107	2593	0
5C221_July30_08012018_6C82_July30_08012018.qgd	8400	0	574627	32815	48392	8213	8307	5758	0	35393	1911	7592	97573	0	0	0	8827	0	0	25877	15515	0	4111	0	30828	0	42330	0	0	0	10560	0	277749	52199	7686	5862	1435	0	1012	17051	9326	8629	0	6155	0	27710	1918	0
6C82_July30_08012018_5C216_July30_08012018.qgd	34388	0	723489	99636	15188	0	4844	4166	23017	27192	2526	0	111776	0	0	503	13675	751489	0	67567	6660	8179	5889	4629	336121	42456	44774	8869	13471	42457	18362	0	207854	140839	19890	24112	5562	0	2207	21650	78614	3311	0	32799	12592	0	2088	19179
Air_July30_08012018_6C87_July30_08012018.qgd	18087	0	1138836	134206	14944	0	4730	11276	75464	8256	2668	0	282112	0	0	4471	12108	330856	0	13722	8749	4032	3975	0	86988	19645	62589	8313	11044	3159	5448	0	235248	181713	31032	11466	0	6511	2033	17519	30043	19381	0	0	41496	0	1560	7362
6C87_July30_08012018_6B34_July30_08012018.qgd	27916	0	893997	81879	14331	44567	21049	1271	26667	20682	2461	11223	122053	0	0	0	1896	144261	4012	67730	9684	13715	3611	184462	913783	1077516	27798	16241	9944	9006	20048	0	112877	108845	4887	35358	2444	2941	2813	14879	22209	15067	0	35854	9561	0	2343	7715
6B34_July30_08012018_6C102_July30_08012018.qgd	51030	9061	492021	33254	4356	0	2963	5967	0	7480	4627	0	105139	0	0	0	13802	1362	0	68707	0	0	2793	9733	809333	73661	129170	12380	4853	992	15252	0	325975	58333	16097	73137	0	0	0	1469	12356	3895	0	18893	0	0	1552	11184
6C102_July30_08012018_6D38_July30_08012018.qgd	0	0	103314	4736	9196	1592	0	3175	0	7081	1308	0	157523	119826	0	0	0	0	0	0	5579	0	0	3676	29088	4053	5478	0	3607	0	3053	5702	157708	9392	3594	4713	0	0	178	8428	3749	3147	0	2486	12201	11330	0	0
6D38_July30_08012018_2C276_July9_08012018.qgd	0	0	89340	0	12886	8946	8946	16213	0	53143	4001	0	582884	0	0	0	2597	0	4193	0	38224	0	28178	0	27224	0	0	23098	0	23386	5682	35184	728147	119480	546398	7922	0	0	1043	50368	29971	44801	0	0	170710	69421	8591	0
2C276_July9_08012018_2B199_July9_08012018.qgd	146034	0	603736	22187	4912	0	0	8259	0	17110	4940	0	111539	194218	0	2900	2721	43583	490	16695	5146	0	0	6322	2040669	113567	12458	4449	2947	10570	6362	23209	309571	36710	18453	151301	0	0	665	15737	9784	5914	0	16698	79312	0	1354	10870
2B199_July9_08012018_2A172_July9_08012018.qgd	0	0	95700	0	64366	14402	14402	11424	0	78010	5871	0	323803	0	0	0	1775	0	0	7306	36228	0	41284	6423	0	0	5281	0	0	9145	0	0	591509	58339	225891	14838	0	0	1195	55187	18003	26096	0	0	200154	69583	7766	0
3C147__1_Aug2_July30_08022018.qgd	36572	0	253178	33209	3100	9220	1345	6134	0	10696	2548	5198	195596	4420	0	0	7704	316722	2046	85905	7337	6246	6822	0	422755	346755	10078	16546	34531	18978	24514	0	187597	51664	17289	8421	0	0	818	19570	13477	15272	0	0	24427	0	1298	25051
2A172_Aug2_08022018.qgd	0	0	22975	0	1829	540	540	2464	0	2401	2881	0	52538	0	0	0	0	0	0	966	3061	0	0	0	4059	1529	0	0	0	0	0	2059	116254	2117	10160	765	0	0	0	9172	1365	334	0	0	13453	0	0	0
Air_Aug2_08022018_4A63_Aug2_08022018.qgd	5667	0	101892	20709	2424	6924	0	6998	0	4924	2481	4762	215766	0	0	924	2048	65283	0	0	5355	0	0	0	22825	0	5918	1950	5257	6640	3467	0	178065	37208	83590	3239	0	0	365	14143	9714	11726	0	0	21356	42397	1328	3371
4A63_Aug2_08022018_1A232_1_Aug2_08022018.qgd	26590	0	2228709	114053	10109	0	9890	3083	0	15390	3196	0	94963	0	0	0	3878	1931228	6123	188239	2512	1662	3642	0	537936	50715	104392	21340	9959	5430	42349	0	168702	214093	7822	13210	3623	0	1826	14604	40898	5073	7009	53924	20247	0	8024	63232
1A232_1_Aug2_08022018_1A232_2_Aug2_08022018.qgd	11524	0	59576	29361	3175	12690	0	6271	0	7480	3482	8479	238514	0	0	1607	0	247849	0	39929	4979	0	7709	602	339794	18274	31564	15803	8988	13023	12911	26055	197215	44762	37330	0	0	0	536	16691	9818	12836	0	15667	0	52510	1068	3669
1A232_2_Aug2_08022018_2D206_2_Aug2_08022018.qgd	3297	0	130490	30773	3724	12972	1571	3847	12647	5961	3055	0	211054	0	0	0	1861	183025	0	4096	3112	0	2888	0	21404	10331	20495	0	12608	962	2764	0	182309	37473	6959	3615	0	0	535	6802	4053	2007	0	5088	12415	49894	0	1880
2D206_2_Aug2_08022018_2D206_Aug2_08022018.qgd	0	0	102424	42946	6487	27767	2114	6361	0	19274	5887	0	255313	0	0	512	2931	241544	3720	73019	16697	4821	3884	0	127410	42870	29672	4139	25231	0	25333	0	218632	51673	17629	6612	0	0	920	14087	9803	9036	0	6864	47643	0	0	6324
2D206_Aug2_08022018_3C163_Aug2_08022018.qgd	5164	0	163154	3846	12415	0	0	3028	0	3505	3420	0	95966	0	0	714	703	1754	0	3442	3796	0	4789	0	33173	5033	9763	5365	1838	2333	0	4469	102319	12279	2467	2606	0	0	382	8100	4445	5445	1783	2663	16950	17917	830	1450
3C163_Aug2_08022018_3C147_2_Aug2_08022018.qgd	37001	0	266339	44299	4723	0	4888	4192	0	10360	0	6610	234441	0	0	0	8405	341881	0	131315	6211	7583	9246	0	540676	377914	17210	28660	18561	0	38039	0	155366	79441	12126	34526	0	0	991	17398	16611	17903	0	0	25970	0	1744	11472
3C147_2_Aug2_08022018_3D858_Aug2_08022018.qgd	6829	0	25290	6009	2562	10299	0	4266	0	0	2051	4428	279280	0	0	0	0	0	0	0	4871	0	7840	5676	4708	3520	0	0	7021	0	2592	6657	176811	22514	6270	4084	0	0	291	11216	10694	13740	0	0	22933	14438	729	0
3D858_Aug2_08022018_3A127_July5_08022018.qgd	20263	0	71732	16882	67572	0	0	7145	0	2979	0	6864	350504	0	0	0	1089	49615	0	0	0	0	3315	3769	349691	142223	12178	3463	5866	11416	0	22049	332033	48648	18920	402131	0	0	394	21834	24732	39277	0	0	81576	58300	3536	0
3A127_July5_08022018_5C205_July6_08022018.qgd	2299	0	74686	18644	9573	35644	0	4573	0	0	3159	0	86261	150426	0	2688	665	29575	0	1121	3794	4612	3547	0	34644	14994	4733	3261	2965	4494	739	19120	158297	22884	6150	10993	0	4098	1301	17239	6548	9475	0	0	15689	67119	570	7996
5C205_July6_08022018_4C_118_July6_08022018.qgd	0	0	125197	0	151272	0	0	12403	0	8728	0	0	395347	0	0	0	6274	0	0	3775	16410	0	5734	0	47312	10857	8698	0	16264	15262	0	59912	353720	100548	45833	14209	0	0	981	50134	65455	115948	0	0	71821	44660	0	0
Air_July6_08022018_5D251_July5_08022018.qgd	7581	0	205882	31392	9935	22494	0	4033	0	0	3074	0	139159	211644	0	1209	0	710	0	1208	6187	864	2166	0	138466	18014	16572	0	3327	2703	1620	0	106004	43712	17823	22011	1906	0	1935	18965	13584	14291	0	5478	27832	36881	1359	3188
5D251_July5_08022018_5A182_July9_08_02_2018.qgd	0	0	39421	0	59287	0	2928	12507	0	0	5258	6123	338720	24190	0	5467	0	0	0	0	10639	0	0	4630	0	0	0	0	1933	4061	0	15982	431421	32554	14799	5955	0	0	572	32414	19786	27328	0	0	171632	33702	0	0
1C62_July5_08032018.qgd	0	1278	24667	0	3399	8749	347	1249	0	2910	0	0	22598	30261	0	525	0	6814	0	0	0	0	1096	0	18606	4642	1758	0	0	2527	0	5930	112614	6891	2438	2912	0	0	0	9220	4302	5985	0	0	7694	11344	0	0
1B664_July5_08032018.qgd	0	0	40068	0	51967	0	3122	9134	0	14319	3786	0	198129	0	0	0	398	11056	0	0	9747	0	7413	1280	0	16787	0	0	4231	0	0	15188	310483	28679	21274	8362	0	0	729	28791	14351	20777	0	0	101271	0	1105	0
5A175_v3_July30_08032018.qgd	2911	0	284341	44547	21494	83972	1758	4871	11430	4256	1935	0	136415	350242	0	0	867	113310	0	7264	12570	1624	2952	0	97576	25936	24528	0	0	574	3357	0	166610	42795	52693	12658	5739	2510	3363	11680	4348	0	0	4181	15785	0	2610	15855
3A128_v2_Aug2_08032018.qgd	36833	0	330291	78240	6447	0	16920	6298	69527	26873	2541	0	226193	45626	0	0	19496	0	4832	134019	8417	0	5414	0	1249595	90378	125412	27475	34427	0	39911	0	157251	117950	43369	38899	0	4320	1708	17402	16231	16349	0	31922	27837	0	5026	11857
5B15_July6_08032018.qgd	13733	0	83949	10580	18662	0	0	6049	0	11700	3574	3305	234035	45373	0	0	0	29840	0	3716	3766	0	0	0	366439	72119	13247	7562	5403	0	0	13999	249983	18320	9111	35693	0	0	0	22046	4661	6776	0	7329	66329	79988	1541	0
1D29_July5_08032018.qgd	0	0	31244	0	36923	5528	0	11266	11149	8446	4959	0	181608	27759	0	3432	0	591	0	0	24521	0	3669	0	46772	15793	0	0	0	0	0	18325	372170	26258	76898	13957	957	0	0	25175	11300	19883	0	0	0	70944	1304	0
5C206_July5_08032018.qgd	8105	0	120033	35262	150293	0	19143	7789	0	0	2690	0	446340	0	0	1283	1977	483	0	0	29166	0	0	0	16184	18820	0	0	9871	0	0	64564	227896	109340	44720	14129	0	0	1154	55303	68582	115407	0	0	148358	28934	4780	0
3D853_July5_08032018.qgd	0	0	46657	0	954	0	0	3553	0	3198	3805	0	70154	84240	0	4903	0	0	0	0	0	0	0	3543	18146	0	606	0	0	0	1396	6283	128805	13103	33291	3954	0	0	210	12558	6239	8362	0	0	19625	0	0	0
1B678_July5_08032018.qgd	0	0	46708	29665	134453	19130	2446	11865	0	15218	6028	4293	311705	0	0	3236	740	0	0	0	22021	0	5699	1169	0	12959	0	0	10752	0	0	46602	340162	96047	41489	11627	0	0	1033	56216	56367	94847	0	0	154724	36616	2990	0
5D232_July5_08032018.qgd	9457	0	52904	11531	11660	48496	0	3757	0	3159	1258	0	112302	0	0	770	0	388	0	3504	8930	1093	2512	2697	39297	9119	3137	4728	1724	2678	3246	12687	102475	23041	14345	11492	0	3277	1813	15627	11266	15731	0	0	0	25318	0	0
3B824_July5_08032018.qgd	15963	0	150103	0	147647	0	14566	9013	0	9218	3883	14465	527094	0	0	601	1484	0	0	9956	42746	0	0	0	182459	321278	9430	0	10955	0	5275	46920	298014	105457	52320	27369	0	0	651	50918	69764	103625	0	0	124585	77190	0	0
4B175_July11_08032018.qgd	0	0	160631	0	108995	206951	23135	9955	0	0	1362	0	259612	369761	0	3485	9337	0	18738	6685	143243	39364	0	6429	0	0	9885	0	8459	4491	0	0	430745	160356	25375	0	0	6050	8738	23943	25923	45206	0	0	98375	71257	1345	21821
4D45_July11_08032018.qgd	0	0	20468	2017	7729	0	598	1107	0	1195	934	0	63189	149331	0	982	0	0	0	0	3516	0	0	0	0	826	0	0	0	1108	1880	2939	73371	6790	3027	1411	0	198	282	11862	4113	4889	0	0	9704	6396	0	0
1B99_July5_08032018.qgd	10631	0	27795	13157	74725	5739	0	10353	0	0	5291	0	240750	0	0	4081	1044	29585	0	0	10069	0	0	0	64848	22387	0	0	5426	10717	0	0	435975	55375	27686	30432	0	0	0	37470	24920	40329	0	0	0	67603	0	0
5D245_July6_08032018.qgd	0	0	115872	0	13819	2308	1051	5575	0	11191	3502	1089	83696	685878	0	1705	0	0	0	2644	8628	0	4304	0	0	13309	0	0	0	3200	0	7076	262833	10352	5834	3954	0	0	0	21960	4350	7479	0	0	58572	14109	0	0
3A647_July5_08032018.qgd	0	0	148104	32914	10453	29953	2245	7909	0	10769	8078	0	152842	97991	0	4471	7022	186172	0	52294	7226	0	0	0	149398	18009	0	4019	3727	0	14196	33674	303905	46049	12644	22633	0	0	1466	22173	7118	9549	0	0	0	97300	971	0
3C163_July5_08032018.qgd	2847	0	35867	8716	3430	8729	1085	2080	0	0	3568	0	122240	1094000	0	879	1300	0	0	1663	2963	0	0	0	42301	21059	9897	6163	0	4019	0	10144	188224	11182	4301	12375	0	0	578	15193	2708	2374	0	0	30474	22475	1090	0
6D51_July9_08042018.qgd	19576	4020	281839	207245	30231	5437	3978	10807	120281	31247	17573	0	316399	62784	0	0	10561	1767472	0	244940	11110	21222	25396	0	177105	32485	10270	0	37384	16602	62440	0	457837	125632	156654	21174	0	9962	4016	30547	13249	15650	0	0	0	175926	0	0
6D167_July9_08042018.qgd	0	0	144402	0	22812	43944	0	17299	0	17522	3355	0	564607	397104	0	1732	3959	192944	0	10729	24650	0	6792	0	0	8920	0	22737	0	25537	6130	178235	720943	173624	435227	12019	0	0	2795	65149	33643	51502	0	0	113692	75224	6695	0
4D45_July17_08042018.qgd	8572	0	216678	7381	3231	0	0	3961	0	1451	3686	0	87440	286829	0	717	2491	4628	0	5923	3535	0	0	0	26561	2991	5173	0	0	5453	0	7052	142216	13861	23866	9353	0	0	859	12250	3981	5112	0	0	23456	19146	648	1803
2D189_July17_08042018.qgd	15901	0	43985	0	4314	0	0	8748	0	0	4044	0	291945	44740	0	0	2398	7821	7079	0	6137	19283	0	2861	119628	27201	10480	9424	3233	923	0	12474	415357	26487	21371	34212	0	0	810	16908	13349	16609	870	0	0	53746	0	0
2D218_July17_08042018.qgd	0	0	202871	0	16337	38641	20019	15358	0	19764	7550	0	354772	175169	0	0	4487	262810	0	43361	275000	3509	17530	4462	133965	90289	26638	0	16471	14397	44909	0	537355	211231	57820	11417	0	0	2719	34763	26226	62439	0	0	0	94468	0	26333
6B28_July16_08042018.qgd	0	0	53487	0	77171	0	0	10885	0	0	5799	0	281132	718160	0	5802	1424	5764	0	11823	10496	0	6544	0	80653	20681	0	8624	4892	2448	0	0	319009	87624	23463	19692	0	0	0	33575	19060	26260	0	0	53875	38966	0	0
6C82_July16_08042018.qgd	5617	0	185441	25910	35087	4034	2439	9356	11004	6459	7381	0	183296	0	0	9547	8393	1342	1148	55262	7022	0	0	3845	91378	66567	29274	5683	7459	0	16965	25334	328739	41282	31803	26903	0	0	0	28159	3757	2297	0	4048	0	74008	0	0
6C106_July16_08042018.qgd	36185	0	1012940	135834	9276	0	30519	6350	17395	0	8842	0	113799	165429	0	526	23455	504097	2484	132658	0	7685	0	4796	451503	128594	94338	10230	11477	2079	34617	0	229254	158922	27230	102272	1821	1698	2053	17031	17415	3004	0	0	57623	0	5859	13437
5A173_July16_08042018.qgd	9068	0	486013	31990	5131	9252	0	6264	0	10174	1011	0	461985	322210	0	0	1079	0	0	19527	46439	0	6183	8930	68760	13840	6036	0	3433	0	5352	0	257664	116050	33800	17698	0	0	410	33842	26561	29269	0	0	110489	31100	0	6797
1D29_July11_08042018.qgd	0	0	24388	0	3643	0	0	9311	0	0	4945	0	168002	0	0	2578	305	11048	0	0	0	0	0	0	0	14228	0	0	0	2482	1117	10125	301675	13189	7738	13937	0	0	444	22197	4917	3288	0	0	55073	44433	0	0
