Name	year	RT.median
L-.alpha.-Terpineol	2019	11.49
L-.alpha.-Terpineol	2020	11.47
Linalool	2018	9.989
Linalool	2019	9.995
Linalool	2020	9.971499999999999
Methyl salicylate	2018	11.541
Methyl salicylate	2019	11.5525
Methyl salicylate	2020	11.529
Nonanoic acid	2018	12.577
Nonanoic acid	2019	12.515
Nonanoic acid	2020	12.536
Petasitene	2018	14.501
Petasitene	2019	14.523
Petasitene	2020	14.501
Tricyclo[3.1.0.0(2,4)]hexane, 3,6-diethyl-3,6-dimethyl-, trans-	2018	16.834
Tricyclo[3.1.0.0(2,4)]hexane, 3,6-diethyl-3,6-dimethyl-, trans-	2019	16.7835
Tricyclo[3.1.0.0(2,4)]hexane, 3,6-diethyl-3,6-dimethyl-, trans-	2020	16.666
cis-.alpha.-Bergamotene	2018	14.657
cis-.alpha.-Bergamotene	2019	14.677
cis-.alpha.-Bergamotene	2020	14.659
cis-3-Hexenyl-.alpha.-methylbutyrate	2018	12.004
cis-3-Hexenyl-.alpha.-methylbutyrate	2019	12.025
cis-3-Hexenyl-.alpha.-methylbutyrate	2020	12
trans-.alpha.-Bergamotene	2018	15.568
trans-.alpha.-Bergamotene	2019	15.511
trans-.alpha.-Bergamotene	2020	15.493500000000001
trans-.beta.-Ocimene	2018	8.947
trans-.beta.-Ocimene	2019	8.966
trans-.beta.-Ocimene	2020	8.8545
trans-Geranylgeraniol	2018	18.2745
trans-Geranylgeraniol	2019	18.294
trans-Geranylgeraniol	2020	18.33
